date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:16:51	31800/31800	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:47%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/ouvidoria-municipal-2	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/ouvidoria-municipal-2.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:51	11950/11950	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:50%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/informacoes-de-servidores	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/informacoes-de-servidores.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:53	23258/23258	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:50%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/component/content/article?id=3390	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/component/content/article5b9d.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:54	26097/26097	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:51%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3433-retirada-de-rg	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3433-retirada-de-rg.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:55	158970/158970	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Feb%202021%2018:20:07%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/images/cmec.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/images/cmec.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:57	25758/25758	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:53%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3567-lista-de-beneficiarios-vale-gas-social	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3567-lista-de-beneficiarios-vale-gas-social.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:59	33594/33594	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Mar%202021%2014:40:56%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/images/baners/Artboard_1bt.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/images/baners/Artboard_1bt.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:00	26469/26469	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:56%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3566-comunicado-09-pacto-pela-aprendizagem	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3566-comunicado-09-pacto-pela-aprendizagem.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:03	27240/27240	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:59%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3563-comunicado-08-pacto-pela-aprendizagem	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3563-comunicado-08-pacto-pela-aprendizagem.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:10	87270/87270	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:16:55%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/modules/mod_vina_camera_slider_content/libs/timthumb.php?a=c&q=99&z=0&w=600&h=300&src=http://saogoncalodoamarante.ce.gov.br/portal/images/Gestao2021/dezembro/capacomunicado9pacto.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/modules/mod_vina_camera_slider_content/libs/timthumb7514.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:14	31833/31833	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:17:10%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3562-fotos-natal-de-todos	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3562-fotos-natal-de-todos.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:14	120384/120384	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Sep%202021%2020:39:09%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/images/rg_chegou.jpeg	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/images/rg_chegou.jpg	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:14	89818/89818	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:16:58%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/modules/mod_vina_camera_slider_content/libs/timthumb.php?a=c&q=99&z=0&w=600&h=300&src=http://saogoncalodoamarante.ce.gov.br/portal/images/Gestao2021/dezembro/capacomunicado8pacto.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/modules/mod_vina_camera_slider_content/libs/timthumbe5f0.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:17	27065/27065	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:17:14%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3559-divulgacao-preliminar-do-resultado-final-programa-pacto-pela-aprendizagem	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos/3559-divulgacao-preliminar-do-resultado-final-programa-pacto-pela-aprendizagem.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
